"GEO_ID","NAME","B02011_001E","B02011_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US01270","ZCTA5 01270","11","14"
"8600000US01301","ZCTA5 01301","321","143"
"8600000US01330","ZCTA5 01330","32","28"
"8600000US01331","ZCTA5 01331","249","139"
"8600000US01337","ZCTA5 01337","10","14"
"8600000US01338","ZCTA5 01338","13","19"
"8600000US01339","ZCTA5 01339","46","28"
"8600000US01340","ZCTA5 01340","31","43"
"8600000US01341","ZCTA5 01341","5","7"
"8600000US01342","ZCTA5 01342","6","12"
"8600000US01343","ZCTA5 01343","0","12"
"8600000US01344","ZCTA5 01344","12","13"
"8600000US01346","ZCTA5 01346","3","4"
"8600000US01347","ZCTA5 01347","0","12"
"8600000US01349","ZCTA5 01349","0","12"
"8600000US01350","ZCTA5 01350","0","12"
"8600000US01351","ZCTA5 01351","13","20"
"8600000US01354","ZCTA5 01354","61","51"
"8600000US01355","ZCTA5 01355","6","7"
"8600000US01360","ZCTA5 01360","5","10"
"8600000US01364","ZCTA5 01364","81","72"
"8600000US01366","ZCTA5 01366","6","6"
"8600000US01367","ZCTA5 01367","0","12"
"8600000US01368","ZCTA5 01368","8","9"
"8600000US01370","ZCTA5 01370","133","89"
"8600000US01373","ZCTA5 01373","79","71"
"8600000US01375","ZCTA5 01375","485","261"
"8600000US01376","ZCTA5 01376","148","171"
"8600000US01378","ZCTA5 01378","11","13"
"8600000US01379","ZCTA5 01379","21","18"
"8600000US01420","ZCTA5 01420","1687","565"
"8600000US01430","ZCTA5 01430","10","19"
"8600000US01431","ZCTA5 01431","21","25"
"8600000US01432","ZCTA5 01432","411","190"
"8600000US01434","ZCTA5 01434","193","87"
"8600000US01436","ZCTA5 01436","47","84"
"8600000US01438","ZCTA5 01438","0","12"
"8600000US01440","ZCTA5 01440","469","214"
"8600000US01450","ZCTA5 01450","643","303"
"8600000US01451","ZCTA5 01451","177","121"
"8600000US01452","ZCTA5 01452","40","53"
"8600000US01453","ZCTA5 01453","1704","616"
"8600000US01460","ZCTA5 01460","844","265"
"8600000US01462","ZCTA5 01462","457","198"
"8600000US01463","ZCTA5 01463","364","163"
"8600000US01464","ZCTA5 01464","544","436"
"8600000US01467","ZCTA5 01467","26","46"
"8600000US01468","ZCTA5 01468","132","147"
"8600000US01469","ZCTA5 01469","190","130"
"8600000US01473","ZCTA5 01473","49","72"
"8600000US01474","ZCTA5 01474","0","12"
"8600000US01475","ZCTA5 01475","181","134"
"8600000US01501","ZCTA5 01501","366","134"
"8600000US01503","ZCTA5 01503","75","65"
"8600000US01504","ZCTA5 01504","39","37"
"8600000US01505","ZCTA5 01505","154","87"
"8600000US01506","ZCTA5 01506","116","116"
"8600000US01507","ZCTA5 01507","225","202"
"8600000US01510","ZCTA5 01510","246","179"
"8600000US01515","ZCTA5 01515","0","12"
"8600000US01516","ZCTA5 01516","131","132"
"8600000US01518","ZCTA5 01518","159","121"
"8600000US01519","ZCTA5 01519","440","261"
"8600000US01520","ZCTA5 01520","605","297"
"8600000US01521","ZCTA5 01521","5","7"
"8600000US01522","ZCTA5 01522","73","79"
"8600000US01523","ZCTA5 01523","96","89"
"8600000US01524","ZCTA5 01524","95","65"
"8600000US01525","ZCTA5 01525","0","12"
"8600000US01527","ZCTA5 01527","523","354"
"8600000US01529","ZCTA5 01529","7","9"
"8600000US01531","ZCTA5 01531","6","6"
"8600000US01532","ZCTA5 01532","1453","345"
"8600000US01534","ZCTA5 01534","81","89"
"8600000US01535","ZCTA5 01535","24","22"
"8600000US01536","ZCTA5 01536","606","216"
"8600000US01537","ZCTA5 01537","40","46"
"8600000US01540","ZCTA5 01540","420","328"
"8600000US01541","ZCTA5 01541","97","94"
"8600000US01542","ZCTA5 01542","0","12"
"8600000US01543","ZCTA5 01543","121","100"
"8600000US01545","ZCTA5 01545","7479","625"
"8600000US01550","ZCTA5 01550","69","44"
